OPERATOR NAME,Employee 2023,Turnover 2023 ?,Employee 2022,Turnover 2022 ?,Employee 2021,Turnover 2021 ?,Employee 2020,Turnover 2020 ?,Employee 2019,Turnover 2019 ?,Employee 2018,Turnover 2018 ?,Employee 2017,Turnover 2017 ?,Employee 2016,Turnover 2016 ?,Source
Viridor Waste Management Limited (Viridor Limited),"1,014","672,100,000","1,856","556,100,000","2,733","720,600,000","2,899","731,900,000","3,426","802,300,000","3,412","733,900,000","3,153","728,000,000","3,230","750,000,000",https://app.endole.co.uk/company/02456473-viridor-limited?page=financials
THAMES WATER UTILITIES LTD,"7,242","2,265,000,000","7,082","2,177,000,000","6,525","2,107,000,000","6,296","2,173,000,000","6,063","2,084,000,000","5,421","2,045,000,000","4,967","2,060,000,000","5,057","2,040,000,000",https://app.endole.co.uk/company/02366661-thames-water-utilities-limited?page=financials
UNITED UTILITIES WATER PLC (United Utilities Group Plc),"5,975","1,824,000,000","5,728","1,863,000,000","5,354","1,808,000,000","5,302","1,859,000,000","5,267","1,819,000,000","5,223","1,736,000,000","5,310","1,704,000,000","5,265","1,730,000,000",https://app.endole.co.uk/company/06559020-united-utilities-group-plc?page=financials
SEVERN TRENT WATER LTD,"6,998","1,966,000,000","6,803","1,809,000,000","6,658","1,700,000,000","6,524","1,715,000,000","6,305","1,673,000,000","5,996","1,607,000,000","5,844","1,556,100,000","5,236","1,550,200,000",https://app.endole.co.uk/company/02366686-severn-trent-water-limited?page=financials
Esso Petroleum Company Ltd,"1,171","8,349,000,000","1,164","8,964,000,000","1,187","4,242,000,000","1,310","2,681,000,000","1,286","4,460,000,000","1,266","5,459,000,000","1,291","4,356,000,000","1,304","3,440,000,000",https://app.endole.co.uk/company/00026538-esso-petroleum-company-limited?page=financials
Anglian Water,"5,295","1,495,000,000","5,129","1,400,000,000","4,882","1,352,000,000","4,984","1,420,000,000","4,764","1,355,000,000","4,600","1,248,900,000","4,462","1,227,000,000","4,432","1,185,000,000",https://app.endole.co.uk/company/02366656-anglian-water-services-limited?page=financials
Longs Steel UK Limited (SLB 2020 LIMITED),,,,,,,,,,,"4,238","551,096,000","4,209","532,063,000","4,670","324,000,000",https://app.endole.co.uk/company/09438207-slb-2020-limited?page=financials
northumbrian water ltd,"3,103","849,900,000","3,089","780,100,000","3,085","758,400,000","3,108","900,400,000","3,146","869,100,000","3,052","834,600,000","3,128","821,600,000","3,125","805,500,000",https://app.endole.co.uk/company/02366703-northumbrian-water-limited?page=financials
Southern Water (Southern Water Services Limited),"2,480","815,700,000","2,216","844,500,000","2,138","819,800,000","2,204","878,000,000","2,327","876,300,000","2,289","829,700,000","2,120","809,700,000","2,119","803,700,000",https://app.endole.co.uk/company/02366670-southern-water-services-limited?page=financials
Severn Waste Services Limited,325,"43,650,000",325,"40,074,000",325,"36,730,000",333,"33,785,000",323,"35,505,000",325,"32,590,000",320,"31,467,000",292,"37,049,000",https://app.endole.co.uk/company/03618688-severn-waste-services-limited?page=financials
Wessex Water (Wessex Water Services Limited),"2,691","541,800,000","2,542","517,800,000","2,502","516,900,000","2,552","540,800,000","2,442","556,000,000","2,308","541,600,000","2,151","531,100,000","2,012","521,800,000",https://app.endole.co.uk/company/02366648-wessex-water-services-limited?page=financials
British Steel Limited,"4,271","1,259,703,000","4,463","1,732,566,000","4,321","1,463,601,000","3,449","843,864,000",,,,,,,,,https://app.endole.co.uk/company/12303256-british-steel-limited?page=financials
Sahaviriya Steel Industries UK Limited,,,,,,,,,,,,,,,,,
SOUTH WEST WATER LTD,"1,886","566,400,000","1,700","584,600,000","1,567","543,800,000","1,452","571,600,000","1,389","582,400,000","1,433","572,800,000","1,427","562,500,000","1,278","506,400,000",https://app.endole.co.uk/company/02366665-south-west-water-limited?page=financials
Valencia Waste Management Limited,150,"44,604,000",777,"208,388,000",,,"1,703","294,964,000","1,679","314,661,000","1,633","313,378,000","1,645","330,025,000","1,689","359,826,000",https://app.endole.co.uk/company/00575069-valencia-waste-management-limited?page=financials
Bradley Park Waste Management Limited,6,,8,,13,,19,,,,20,,23,,21,,https://app.endole.co.uk/company/06972355-bradley-park-waste-management-limited?page=financials
Phillips 66 Limited,943,"6,062,000,000",968,"8,120,000,000",976,"4,515,000,000",971,"2,668,521,000",945,"4,464,000,000",977,"4,515,000,000","1,018","3,095,696,000","1,042","2,803,129,000",https://app.endole.co.uk/company/00529086-phillips-66-limited?page=financials
Urbaser Environmental Limited (FCC O&M Services Limited),79,"19,899,000",45,"11,688,000",,"9,288,998",,"8,438,699",43,"1,278,634",,,,,,,https://app.endole.co.uk/company/07888606-fcc-o-m-services-limited?page=financials
DWR CYMRU CYFYNGEDIG LTD (DWR Cymru Cyfyngedig),"3,554","841,300,000","3,547","807,000,000","3,602","776,200,000","3,525","777,300,000","3,444","779,800,000","3,384","756,700,000","3,090","743,600,000","2,900","743,200,000",https://app.endole.co.uk/company/02366777-dwr-cymru-cyfyngedig?page=financials
Haltermann Carless UK Limited,175,"128,935,000",181,"147,546,000",176,"84,238,000",178,"64,369,000",178,"106,274,000",178,"113,046,000",192,"118,194,000",171,"97,394,000",https://app.endole.co.uk/company/00429315-haltermann-carless-uk-limited?page=financials
Viridor Waste Exeter Limited (Valencia Waste Exeter Limited),,"67,991,000",,"74,059,000",18,"27,725,000",20,"31,236,000",22,"39,743,000",16,"35,264,000",20,"44,419,000",22,"51,351,000",https://app.endole.co.uk/company/01403771-valencia-waste-exeter-limited?page=financials
